kept_transcripts	age<50&storm	ref	var
FOXL2	1	83	0
FOXP2	0	685	0
FOXP2	1	83	0
FOXRED1	0	684	1
FOXRED1	1	83	0
FRAS1	0	683	2
FRAS1	1	81	2
FREM1	0	681	4
FREM1	1	83	0
FREM2	0	682	3
FREM2	1	82	1
FSCN2	0	678	7
FSCN2	1	81	2
FTCD	0	684	1
FTCD	1	83	0
FTO	0	685	0
FTO	1	82	1
FUS	0	685	0
FUS	1	83	0
FUT6	0	668	17
FUT6	1	83	0
G6PC	0	684	1
G6PC	1	83	0
GAA	0	682	3
GAA	1	83	0
GABRB3	0	684	1
GABRB3	1	83	0
GABRD	0	684	1
GABRD	1	83	0
GALC	0	685	0
GALC	1	82	1
GALK1	0	684	1
GALK1	1	83	0
GATA3	0	685	0
GATA3	1	83	0
GBA2	0	683	2
GBA2	1	83	0
GBE1	0	684	1
GBE1	1	83	0
GC	0	655	30
GC	1	77	6
GCKR	0	682	3
GCKR	1	83	0
GCNT2	0	683	2
GCNT2	1	83	0
GFER	0	684	1
GFER	1	83	0
GFM2	0	684	1
GFM2	1	83	0
GGCX	0	684	1
GGCX	1	83	0
GHRL	0	684	1
GHRL	1	83	0
GIPC3	0	679	6
GIPC3	1	83	0
GJA1	0	677	8
GJA1	1	82	1
GJA5	0	683	2
GJA5	1	83	0
GJA8	0	684	1
GJA8	1	83	0
GJB2	0	656	29
GJB2	1	83	0
GJB4	0	618	67
GJB4	1	75	8
GJB6	0	685	0
GJB6	1	82	1
GJC2	0	682	3
GJC2	1	83	0
GMPPB	0	684	1
GMPPB	1	83	0
GNA11	0	684	1
GNA11	1	83	0
GNAO1	0	673	12
GNAO1	1	80	3
GNRH1	0	684	1
GNRH1	1	83	0
GNRHR	0	681	4
GNRHR	1	83	0
GNS	0	684	1
GNS	1	83	0
GORAB	0	683	2
GORAB	1	83	0
GP1BA	0	683	2
GP1BA	1	82	1
GP9	0	684	1
GP9	1	83	0
GPSM2	0	683	2
GPSM2	1	83	0
GRHL2	0	663	22
GRHL2	1	82	1
GRHPR	0	685	0
GRHPR	1	83	0
GRIN1	0	685	0
GRIN1	1	82	1
GRIN2A	0	627	58
GRIN2A	1	77	6
GRM6	0	684	1
GRM6	1	83	0
GRXCR2	0	684	1
GRXCR2	1	83	0
GSDME	0	682	3
GSDME	1	83	0
GTF2H5	0	684	1
GTF2H5	1	83	0
GUCA1B	0	683	2
GUCA1B	1	82	1
GUCY2D	0	684	1
GUCY2D	1	83	0
GUSB	0	684	1
GUSB	1	83	0
GYG1	0	684	1
GYG1	1	83	0
GYS2	0	683	2
GYS2	1	83	0
HADHA	0	684	1
HADHA	1	83	0
HAL	0	682	3
HAL	1	82	1
HEXA	0	684	1
HEXA	1	83	0
HGD	0	684	1
HGD	1	83	0
HGF	0	684	1
HGF	1	83	0
HIBCH	0	683	2
HIBCH	1	83	0
HIP1	0	671	14
HIP1	1	83	0
HMCN1	0	667	18
HMCN1	1	82	1
HMGCS2	0	684	1
HMGCS2	1	83	0
HOXB13	0	683	2
HOXB13	1	83	0
HOXD10	0	684	1
HOXD10	1	83	0
HOXD13	0	684	1
HOXD13	1	83	0
HPD	0	684	1
HPD	1	83	0
HPGD	0	684	1
HPGD	1	83	0
HPS1	0	684	1
HPS1	1	82	1
HPS3	0	683	2
HPS3	1	83	0
HPS5	0	684	1
HPS5	1	83	0
HPS6	0	685	0
HPS6	1	82	1
HR	0	685	0
HR	1	83	0
HSF4	0	684	1
HSF4	1	83	0
HSPB3	0	684	1
HSPB3	1	83	0
HTT	0	685	0
HTT	1	83	0
HYDIN	0	683	2
HYDIN	1	83	0
HYDIN2	0	678	7
HYDIN2	1	83	0
HYLS1	0	683	2
HYLS1	1	83	0
IBA57	0	684	1
IBA57	1	83	0
ICAM4	0	682	3
ICAM4	1	83	0
IDH1	0	682	3
IDH1	1	83	0
IDUA	0	682	3
IDUA	1	81	2
IFIH1	0	668	17
IFIH1	1	80	3
IFITM5	0	684	1
IFITM5	1	83	0
IFNAR2	0	684	1
IFNAR2	1	83	0
IFNGR1	0	684	1
IFNGR1	1	83	0
IFNL1	0	684	1
IFNL1	1	83	0
IFNL2	0	684	1
IFNL2	1	83	0
IFT140	0	684	1
IFT140	1	83	0
IFT172	0	681	4
IFT172	1	83	0
IFT43	0	684	1
IFT43	1	83	0
IGFALS	0	684	1
IGFALS	1	83	0
IGLL1	0	683	2
IGLL1	1	82	1
IL10RB	0	684	1
IL10RB	1	83	0
IL12RB1	0	684	1
IL12RB1	1	83	0
IL23R	0	675	10
IL23R	1	83	0
IL36RN	0	684	1
IL36RN	1	83	0
IL7R	0	684	1
IL7R	1	83	0
ILK	0	684	1
ILK	1	83	0
IMPG2	0	684	1
